task_id,domain,source_file,n_tool_calls_annotated,n_dependency_layers_graph,dependency_graph_path,has_persistent_write,write_tools_found,has_high_risk_write,evaluator_available,c1_min_tool_calls,c2_min_3_dep_layers,c3_has_persistent_write,c4_has_high_risk_write,c5_evaluator_available,included,exclusion_reasons,task_split
1,retail,/home/xqin5/multiaiagent/worktrees/tau2-clean/data/tau2/domains/retail/tasks.json,5,5,/home/xqin5/multiaiagent/artifacts/task_audit/task_dependency_graphs/retail_162838aa22f77a66.json,True,exchange_delivered_order_items,True,True,True,True,True,True,True,True,,held_out
19,retail,/home/xqin5/multiaiagent/worktrees/tau2-clean/data/tau2/domains/retail/tasks.json,7,7,/home/xqin5/multiaiagent/artifacts/task_audit/task_dependency_graphs/retail_383b977fe3618372.json,True,return_delivered_order_items,True,True,True,True,True,True,True,True,,held_out
26,retail,/home/xqin5/multiaiagent/worktrees/tau2-clean/data/tau2/domains/retail/tasks.json,8,8,/home/xqin5/multiaiagent/artifacts/task_audit/task_dependency_graphs/retail_5099d85c7f109c43.json,True,return_delivered_order_items,True,True,True,True,True,True,True,True,,held_out
37,retail,/home/xqin5/multiaiagent/worktrees/tau2-clean/data/tau2/domains/retail/tasks.json,4,4,/home/xqin5/multiaiagent/artifacts/task_audit/task_dependency_graphs/retail_f84e6184458f1b27.json,True,modify_pending_order_items,True,True,True,True,True,True,True,True,,held_out
103,retail,/home/xqin5/multiaiagent/worktrees/tau2-clean/data/tau2/domains/retail/tasks.json,4,4,/home/xqin5/multiaiagent/artifacts/task_audit/task_dependency_graphs/retail_4f54784254dd6d6e.json,True,return_delivered_order_items|return_delivered_order_items|modify_pending_order_address|modify_pending_order_items,True,True,True,True,True,True,True,True,,held_out
59,retail,/home/xqin5/multiaiagent/worktrees/tau2-clean/data/tau2/domains/retail/tasks.json,5,5,/home/xqin5/multiaiagent/artifacts/task_audit/task_dependency_graphs/retail_5b76e8bf738a2804.json,True,cancel_pending_order|modify_pending_order_address,True,True,True,True,True,True,True,True,,held_out
66,retail,/home/xqin5/multiaiagent/worktrees/tau2-clean/data/tau2/domains/retail/tasks.json,5,5,/home/xqin5/multiaiagent/artifacts/task_audit/task_dependency_graphs/retail_b7dd47100908addb.json,True,cancel_pending_order,True,True,True,True,True,True,True,True,,held_out
58,retail,/home/xqin5/multiaiagent/worktrees/tau2-clean/data/tau2/domains/retail/tasks.json,6,6,/home/xqin5/multiaiagent/artifacts/task_audit/task_dependency_graphs/retail_c95c696a20215035.json,True,exchange_delivered_order_items,True,True,True,True,True,True,True,True,,held_out
61,retail,/home/xqin5/multiaiagent/worktrees/tau2-clean/data/tau2/domains/retail/tasks.json,5,5,/home/xqin5/multiaiagent/artifacts/task_audit/task_dependency_graphs/retail_d812273ab056ab89.json,True,modify_pending_order_items,True,True,True,True,True,True,True,True,,held_out
51,retail,/home/xqin5/multiaiagent/worktrees/tau2-clean/data/tau2/domains/retail/tasks.json,6,6,/home/xqin5/multiaiagent/artifacts/task_audit/task_dependency_graphs/retail_97c83226d267b3ab.json,True,return_delivered_order_items,True,True,True,True,True,True,True,True,,held_out
41,retail,/home/xqin5/multiaiagent/worktrees/tau2-clean/data/tau2/domains/retail/tasks.json,10,10,/home/xqin5/multiaiagent/artifacts/task_audit/task_dependency_graphs/retail_b18e5e0bedc078fe.json,True,modify_pending_order_address|modify_pending_order_address|modify_user_address|modify_pending_order_items,True,True,True,True,True,True,True,True,,held_out
55,retail,/home/xqin5/multiaiagent/worktrees/tau2-clean/data/tau2/domains/retail/tasks.json,13,13,/home/xqin5/multiaiagent/artifacts/task_audit/task_dependency_graphs/retail_47195e3110eb4ad3.json,True,cancel_pending_order|cancel_pending_order|return_delivered_order_items|return_delivered_order_items,True,True,True,True,True,True,True,True,,held_out
78,retail,/home/xqin5/multiaiagent/worktrees/tau2-clean/data/tau2/domains/retail/tasks.json,3,3,/home/xqin5/multiaiagent/artifacts/task_audit/task_dependency_graphs/retail_1ceb5acbc0ae2e4e.json,True,modify_pending_order_address|modify_pending_order_items|cancel_pending_order,True,True,True,True,True,True,True,True,,held_out
27,retail,/home/xqin5/multiaiagent/worktrees/tau2-clean/data/tau2/domains/retail/tasks.json,6,6,/home/xqin5/multiaiagent/artifacts/task_audit/task_dependency_graphs/retail_c648f8c668f055fb.json,True,exchange_delivered_order_items,True,True,True,True,True,True,True,True,,held_out
47,retail,/home/xqin5/multiaiagent/worktrees/tau2-clean/data/tau2/domains/retail/tasks.json,7,7,/home/xqin5/multiaiagent/artifacts/task_audit/task_dependency_graphs/retail_7a7b2c096d24eaa0.json,True,return_delivered_order_items,True,True,True,True,True,True,True,True,,held_out
7,retail,/home/xqin5/multiaiagent/worktrees/tau2-clean/data/tau2/domains/retail/tasks.json,6,6,/home/xqin5/multiaiagent/artifacts/task_audit/task_dependency_graphs/retail_98a7211bc2a5f93f.json,True,exchange_delivered_order_items,True,True,True,True,True,True,True,True,,held_out
23,retail,/home/xqin5/multiaiagent/worktrees/tau2-clean/data/tau2/domains/retail/tasks.json,12,12,/home/xqin5/multiaiagent/artifacts/task_audit/task_dependency_graphs/retail_3270788a07d4c9ce.json,True,exchange_delivered_order_items|exchange_delivered_order_items|modify_pending_order_items,True,True,True,True,True,True,True,True,,held_out
14,retail,/home/xqin5/multiaiagent/worktrees/tau2-clean/data/tau2/domains/retail/tasks.json,6,6,/home/xqin5/multiaiagent/artifacts/task_audit/task_dependency_graphs/retail_cc75ae2eb6ba0a3e.json,True,return_delivered_order_items|return_delivered_order_items,True,True,True,True,True,True,True,True,,held_out
2,retail,/home/xqin5/multiaiagent/worktrees/tau2-clean/data/tau2/domains/retail/tasks.json,11,11,/home/xqin5/multiaiagent/artifacts/task_audit/task_dependency_graphs/retail_8623fdadfd3b5335.json,True,return_delivered_order_items,True,True,True,True,True,True,True,True,,held_out
5,retail,/home/xqin5/multiaiagent/worktrees/tau2-clean/data/tau2/domains/retail/tasks.json,5,5,/home/xqin5/multiaiagent/artifacts/task_audit/task_dependency_graphs/retail_8747dd3b9147f01e.json,True,return_delivered_order_items,True,True,True,True,True,True,True,True,,held_out
49,retail,/home/xqin5/multiaiagent/worktrees/tau2-clean/data/tau2/domains/retail/tasks.json,10,10,/home/xqin5/multiaiagent/artifacts/task_audit/task_dependency_graphs/retail_69eed4e52a4e2d4a.json,True,exchange_delivered_order_items,True,True,True,True,True,True,True,True,,held_out
46,retail,/home/xqin5/multiaiagent/worktrees/tau2-clean/data/tau2/domains/retail/tasks.json,7,7,/home/xqin5/multiaiagent/artifacts/task_audit/task_dependency_graphs/retail_b4abdc65ee2ad638.json,True,return_delivered_order_items,True,True,True,True,True,True,True,True,,held_out
43,retail,/home/xqin5/multiaiagent/worktrees/tau2-clean/data/tau2/domains/retail/tasks.json,5,5,/home/xqin5/multiaiagent/artifacts/task_audit/task_dependency_graphs/retail_a6ebbf8c1cf7335c.json,True,modify_user_address,True,True,True,True,True,True,True,True,,held_out
101,retail,/home/xqin5/multiaiagent/worktrees/tau2-clean/data/tau2/domains/retail/tasks.json,3,3,/home/xqin5/multiaiagent/artifacts/task_audit/task_dependency_graphs/retail_f98e8f70070cb488.json,True,modify_pending_order_address|modify_pending_order_items|modify_pending_order_items,True,True,True,True,True,True,True,True,,held_out
45,retail,/home/xqin5/multiaiagent/worktrees/tau2-clean/data/tau2/domains/retail/tasks.json,5,5,/home/xqin5/multiaiagent/artifacts/task_audit/task_dependency_graphs/retail_a08989f1cf99486d.json,True,exchange_delivered_order_items,True,True,True,True,True,True,True,True,,held_out
60,retail,/home/xqin5/multiaiagent/worktrees/tau2-clean/data/tau2/domains/retail/tasks.json,4,4,/home/xqin5/multiaiagent/artifacts/task_audit/task_dependency_graphs/retail_ad310f7125751221.json,True,modify_pending_order_items,True,True,True,True,True,True,True,True,,held_out
87,retail,/home/xqin5/multiaiagent/worktrees/tau2-clean/data/tau2/domains/retail/tasks.json,4,4,/home/xqin5/multiaiagent/artifacts/task_audit/task_dependency_graphs/retail_0ba066b92d18c66a.json,True,modify_pending_order_address|modify_pending_order_address|modify_pending_order_address|modify_user_address,True,True,True,True,True,True,True,True,,held_out
21,retail,/home/xqin5/multiaiagent/worktrees/tau2-clean/data/tau2/domains/retail/tasks.json,12,12,/home/xqin5/multiaiagent/artifacts/task_audit/task_dependency_graphs/retail_a9d9ad2116079a24.json,True,modify_pending_order_items,True,True,True,True,True,True,True,True,,held_out
28,retail,/home/xqin5/multiaiagent/worktrees/tau2-clean/data/tau2/domains/retail/tasks.json,11,11,/home/xqin5/multiaiagent/artifacts/task_audit/task_dependency_graphs/retail_c25cfe780a690ea4.json,True,return_delivered_order_items|return_delivered_order_items|return_delivered_order_items,True,True,True,True,True,True,True,True,,held_out
